Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Matsumura, T., Nagamura, N., Akaho, S., Nagata, K., Ando, Y.","57193630175; 14024887600; 6701679226; 57203059385; 55250732500","Spectrum adapted the expectation-maximization algorithm for high-throughput peak shift analysis",2019,"Science and Technology of Advanced Materials",20,"1",,733,745,,,10.1080/14686996.2019.1620123,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068086052&partnerID=40&md5=b2fd01a298cb2d60ae77bd340d6d0a08",Article,Final,Open Access,Scopus,2-s2.0-85068086052
"Wolff, P., Ríos, S.A., Graña, M.","57206394790; 8912564600; 7005388617","Setting up standards: A methodological proposal for pediatric Triage machine learning model construction based on clinical outcomes",2019,"Expert Systems with Applications",138,"", 112788,,,,,10.1016/j.eswa.2019.07.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069554168&partnerID=40&md5=47d78368c20857cf445266d13a55250c",Article,Final,,Scopus,2-s2.0-85069554168
"Dai, W., Jin, H., Zhang, Y., Liu, T., Zhou, Z.","57192301405; 56978500400; 55265851500; 57210563489; 55728195300","Detecting temporal changes in the temperature sensitivity of spring phenology with global warming: Application of machine learning in phenological model",2019,"Agricultural and Forest Meteorology",279,"", 107702,,,,,10.1016/j.agrformet.2019.107702,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070878625&partnerID=40&md5=58641c3e7dc8bfe4d76743e3aa28c1e3",Article,Final,,Scopus,2-s2.0-85070878625
"Gredell, D.A., Schroeder, A.R., Belk, K.E., Broeckling, C.D., Heuberger, A.L., Kim, S.-Y., King, D.A., Shackelford, S.D., Sharp, J.L., Wheeler, T.L., Woerner, D.R., Prenni, J.E.","57203204887; 57208179095; 7004868150; 6505889306; 36099965000; 57208177779; 57201635618; 7006186836; 57210005470; 7201611255; 15726824300; 6507417147","Comparison of Machine Learning Algorithms for Predictive Modeling of Beef Attributes Using Rapid Evaporative Ionization Mass Spectrometry (REIMS) Data",2019,"Scientific Reports",9,"1", 5721,,,,1,10.1038/s41598-019-40927-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064056812&partnerID=40&md5=2156a389aa1b065a966bcd395b006dc0",Article,Final,Open Access,Scopus,2-s2.0-85064056812
"Cetron, J.S., Connolly, A.C., Diamond, S.G., May, V.V., Haxby, J.V., Kraemer, D.J.M.","57208582230; 55015541800; 12244303500; 57208584217; 7004857212; 8212466500","Decoding individual differences in STEM learning from functional MRI data",2019,"Nature Communications",10,"1", 2027,,,,,10.1038/s41467-019-10053-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065191571&partnerID=40&md5=b8d8c3cedd6e15b3b066374b91537023",Article,Final,Open Access,Scopus,2-s2.0-85065191571
"Martin, R.P.","55689394100","Science-based nuclear design and safety in the emerging age of data based analytics",2019,"Nuclear Engineering and Design",354,"", 110155,,,,,10.1016/j.nucengdes.2019.110155,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067284942&partnerID=40&md5=92983e610eb5d84a33bda703eaea03f2",Article,Final,,Scopus,2-s2.0-85067284942
"Perron, B.E., Victor, B.G., Bushman, G., Moore, A., Ryan, J.P., Lu, A.J., Piellusch, E.K.","57203069184; 57190580901; 57192164469; 57190582119; 8318496600; 57210964224; 57210954143","Detecting substance-related problems in narrative investigation summaries of child abuse and neglect using text mining and machine learning",2019,"Child Abuse and Neglect",98,"", 104180,,,,,10.1016/j.chiabu.2019.104180,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072038110&partnerID=40&md5=a3ca78dfa159163c7017a9c48f772369",Article,Final,,Scopus,2-s2.0-85072038110
"Im, J., Lee, S., Ko, T.-W., Kim, H.W., Hyon, Y.K., Chang, H.","12790094800; 57207992334; 7201681307; 57197870044; 25630435400; 7407522741","Identifying Pb-free perovskites for solar cells by machine learning",2019,"npj Computational Materials",5,"1", 37,,,,1,10.1038/s41524-019-0177-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063506824&partnerID=40&md5=5fc90a62bbb5454692cfa5675450e560",Article,Final,Open Access,Scopus,2-s2.0-85063506824
"Umehara, M., Stein, H.S., Guevarra, D., Newhouse, P.F., Boyd, D.A., Gregoire, J.M.","55027388300; 56539269700; 36025171000; 57192094872; 7202871369; 15127247100","Analyzing machine learning models to accelerate generation of fundamental materials insights",2019,"npj Computational Materials",5,"1", 34,,,,3,10.1038/s41524-019-0172-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062723434&partnerID=40&md5=97dc608cf4e8cebcc256135a0d7996d4",Article,Final,Open Access,Scopus,2-s2.0-85062723434
"Sarker, I.H., Colman, A., Han, J.","56997358700; 8730893600; 55908284200","RecencyMiner: mining recency-based personalized behavior from contextual smartphone data",2019,"Journal of Big Data",6,"1", 49,,,,2,10.1186/s40537-019-0211-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066779118&partnerID=40&md5=479d51a8ef4278da2a65bf6515e2e06a",Article,Final,Open Access,Scopus,2-s2.0-85066779118
"Wu, S., Kondo, Y., Kakimoto, M.-A., Yang, B., Yamada, H., Kuwajima, I., Lambard, G., Hongo, K., Xu, Y., Shiomi, J., Schick, C., Morikawa, J., Yoshida, R.","57209454294; 57209456198; 15619196500; 55584794837; 57209460290; 57200200535; 57209451750; 7102627691; 7406450175; 13608141300; 57202395748; 7006918159; 35239118600","Machine-learning-assisted discovery of polymers with high thermal conductivity using a molecular design algorithm",2019,"npj Computational Materials",5,"1", 5,,,,1,10.1038/s41524-019-0203-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067803264&partnerID=40&md5=dc939627834620d1ae206e13c45160a9",Article,Final,Open Access,Scopus,2-s2.0-85067803264
"Mohammadi, B.","57195411533","Predicting total phosphorus levels as indicators for shallow lake management",2019,"Ecological Indicators",107,"", 105664,,,,,10.1016/j.ecolind.2019.105664,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071275565&partnerID=40&md5=49fdc8106cb0ff96b2a404f26493f0e8",Letter,Final,,Scopus,2-s2.0-85071275565
"Ding, T., Bickel, W.K., Pan, S.","55325246300; 7102127416; 7402713319","Predicting delay discounting from heterogeneous social media data",2019,"Social Network Analysis and Mining",9,"1", 27,,,,,10.1007/s13278-019-0574-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067368701&partnerID=40&md5=337e10c595ea166b0424f5d90dd95016",Article,Final,,Scopus,2-s2.0-85067368701
