Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Shin, D., Lee, S., Shyam, A., Haynes, J.A.","13309863500; 57195776217; 7003920085; 7202040034","Petascale supercomputing to accelerate the design of high-temperature alloys",2017,"Science and Technology of Advanced Materials",18,"1",,828,838,,1,10.1080/14686996.2017.1371559,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032332635&partnerID=40&md5=f93286303ccb99b9b904fc2e1b7e70d0",Article,Final,Open Access,Scopus,2-s2.0-85032332635
"Hu, R., Zhao, H.-M., Xu, H.","15754118800; 55715798100; 57201542851","A big data intelligence analysis expression method based on machine learning",2017,"Cluster Computing",,"",,1,8,,2,10.1007/s10586-017-1578-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039710022&partnerID=40&md5=824d8cab8ed14ec1224dde963ddc13dc",[No source information available],Article in Press,,Scopus,2-s2.0-85039710022
"Giles, C.B., Brown, C.A., Ripperger, M., Dennis, Z., Roopnarinesingh, X., Porter, H., Perz, A., Wren, J.D.","20435458700; 57200107739; 57195792205; 57200110443; 57200110573; 57195947244; 57200116398; 7005385633","ALE: Automated label extraction from GEO metadata",2017,"BMC Bioinformatics",18,"", 509,,,,4,10.1186/s12859-017-1888-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039716217&partnerID=40&md5=10164005c50616cf4d377871c132b593",Article,Final,Open Access,Scopus,2-s2.0-85039716217
"Sahoh, B., Choksuriwong, A.","57201645578; 13808284400","Smart emergency management based on social big data analytics: Research trends and future directions",2017,"ACM International Conference Proceeding Series",,"",,1,6,,1,10.1145/3176653.3176657,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045523294&partnerID=40&md5=0c25bb5b13791b3f7275129f78bb6975",Conference Paper,Final,,Scopus,2-s2.0-85045523294
"Fontanarosa, P., Bauchner, H., Flanagin, A.","7005189811; 7006724724; 20134088300","Authorship and team science",2017,"JAMA - Journal of the American Medical Association",318,"24",,2433,2437,,15,10.1001/jama.2017.19341,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040072133&partnerID=40&md5=994a97294b08938b7e6c4dd2b68e7c8c",Review,Final,Open Access,Scopus,2-s2.0-85040072133
[No author name available],[No author name available],"Proceedings - 2017 European Intelligence and Security Informatics Conference, EISIC 2017",2017,"Proceedings - 2017 European Intelligence and Security Informatics Conference, EISIC 2017",2017-January,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046689441&partnerID=40&md5=ae9d7bb411e337b6b49037f5f4b92088",Conference Review,Final,,Scopus,2-s2.0-85046689441
"Zheng, W.-S., Gao, X., Li, Y., Lai, J.","25928152800; 7403873424; 55936283000; 56142761700","Special issue on 2016 International Conference on Intelligence Science and Big Data Engineering",2017,"Neurocomputing",269,"",,117,119,,,10.1016/j.neucom.2017.05.079,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021072369&partnerID=40&md5=8d7f31218d043c629498fb1ba83e19d3",Conference Paper,Final,,Scopus,2-s2.0-85021072369
"Xu, D., Offner, S.S.R.","57200112444; 23091749600","Assessing the Performance of a Machine Learning Algorithm in Identifying Bubbles in Dust Emission",2017,"Astrophysical Journal",851,"2", 149,,,,3,10.3847/1538-4357/aa9a42,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039700362&partnerID=40&md5=5727c3f536402309ff1f0dae72e0f0f2",Article,Final,Open Access,Scopus,2-s2.0-85039700362
"Shan, S., Cai, D., Deng, C., Chang, H.","22235341500; 35228598300; 57208019993; 36719786700","Special issue on selected and extended papers from the 2015 International Conference on Intelligence Science and Big Data Engineering (IScIDE 2015)",2017,"Neurocomputing",269,"",,1,2,,,10.1016/j.neucom.2017.05.077,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020617514&partnerID=40&md5=f58a16ccc9810c8897d0e44fbe7d1035",Conference Paper,Final,,Scopus,2-s2.0-85020617514
"Jakubowski, J., Stypulkowski, J.B., Bernardeau, F.G.","56895755100; 15730002000; 25645726700","Multivariate Linear Regression and CART Regression Analysis of TBM Performance at Abu Hamour Phase-I Tunnel",2017,"Archives of Mining Sciences",62,"4",,825,841,,4,10.1515/amsc-2017-0057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040913473&partnerID=40&md5=ff5d8b83d9f9aa8b37dd82c8d18cd8a9",Article,Final,Open Access,Scopus,2-s2.0-85040913473
